År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2026;01 80;STOCKHOLM;SPÅNGA-KISTA FÖRSAMLING;31.55;30.62;18.22;12.33;0.07;0.93
2026;01 80;STOCKHOLM;STOCKHOLMS DOMKYRKOFÖRSAMLING;31.65;30.62;18.22;12.33;0.07;1.03
2026;01 80;STOCKHOLM;TYSKA S:TA GERTRUDS FÖRSAMLING;31.4;30.62;18.22;12.33;0.07;0.78
2026;01 80;STOCKHOLM;VANTÖRS FÖRSAMLING;31.42;30.62;18.22;12.33;0.07;0.8
2026;01 80;STOCKHOLM;VÄLLINGBY FÖRSAMLING;31.52;30.62;18.22;12.33;0.07;0.9
2026;01 80;STOCKHOLM;VÄSTERLEDS FÖRSAMLING;31.38;30.62;18.22;12.33;0.07;0.76
2026;01 80;STOCKHOLM;VÄSTERMALMS FÖRSAMLING;31.32;30.62;18.22;12.33;0.07;0.7
2026;01 81;SÖDERTÄLJE;ENHÖRNA FÖRSAMLING;33.572;32.672;20.05;12.33;0.292;0.9
2026;01 81;SÖDERTÄLJE;HÖLÖ-MÖRKÖ FÖRSAMLING;33.792;32.672;20.05;12.33;0.292;1.12
2026;01 81;SÖDERTÄLJE;SÖDERTÄLJE FÖRSAMLING;33.572;32.672;20.05;12.33;0.292;0.9
2026;01 81;SÖDERTÄLJE;VÅRDINGE FÖRSAMLING;33.752;32.672;20.05;12.33;0.292;1.08
2026;01 81;SÖDERTÄLJE;YTTERJÄRNA FÖRSAMLING;33.752;32.672;20.05;12.33;0.292;1.08
2026;01 81;SÖDERTÄLJE;ÖSTERTÄLJE FÖRSAMLING;33.572;32.672;20.05;12.33;0.292;0.9
2026;01 81;SÖDERTÄLJE;ÖVERJÄRNA FÖRSAMLING;33.752;32.672;20.05;12.33;0.292;1.08
2026;01 82;NACKA;BOO FÖRSAMLING;31.252;30.402;17.78;12.33;0.292;0.85
2026;01 82;NACKA;NACKA FÖRSAMLING;31.202;30.402;17.78;12.33;0.292;0.8
